Pot Structure mpid RMS imagmodes(pot) imagmodes(dft) 
GAP18 5 mp-1072544 1.3524428790199674 True False
GAP18 6 mp-1079297 0.4475380550767458 False False
GAP18 9 mp-1095269 0.5262538080956367 False False
GAP18 15 mp-1200830 0.8927070500710784 False False
GAP18 18 mp-1203790 1.1731775459428295 False False
GAP18 22 mp-149 0.14747483562148295 False False
GAP18 23 mp-16220 0.8456677747589204 False False
GAP18 24 mp-165 0.5294360060634917 False False
GAP18 25 mp-168 0.4388638789106809 False False
GAP18 28 mp-571520 0.4671941803148047 False False
GAP18 32 mp-971661 0.9540310835192337 False False
GAP18 33 mp-971662 1.1144654419626625 False False
GAP18 34 mp-999200 0.7038175422393208 False False
Fig_2_only_random_M_1000 5 mp-1072544 1.045766531251618 False False
Fig_2_only_random_M_1000 6 mp-1079297 0.5603183932908684 False False
Fig_2_only_random_M_1000 9 mp-1095269 0.6245838900086598 False False
Fig_2_only_random_M_1000 15 mp-1200830 0.47330634277525385 False False
Fig_2_only_random_M_1000 18 mp-1203790 0.6287806700909596 False False
Fig_2_only_random_M_1000 22 mp-149 1.3184827187407644 False False
Fig_2_only_random_M_1000 23 mp-16220 2.1480140420413707 False False
Fig_2_only_random_M_1000 24 mp-165 0.834169177356471 False False
Fig_2_only_random_M_1000 25 mp-168 0.4965526139855817 False False
Fig_2_only_random_M_1000 28 mp-571520 0.46422990554803867 False False
Fig_2_only_random_M_1000 32 mp-971661 0.8369377624648127 False False
Fig_2_only_random_M_1000 33 mp-971662 0.5573248025148733 False False
Fig_2_only_random_M_1000 34 mp-999200 0.8533944171829775 True False
Fig_2_only_random_M_3000 5 mp-1072544 0.7284509722266663 False False
Fig_2_only_random_M_3000 6 mp-1079297 0.4144167141964934 False False
Fig_2_only_random_M_3000 9 mp-1095269 0.7642005484948284 False False
Fig_2_only_random_M_3000 15 mp-1200830 0.38731997677140634 False False
Fig_2_only_random_M_3000 18 mp-1203790 0.20973290036411488 False False
Fig_2_only_random_M_3000 22 mp-149 0.4556319773409034 False False
Fig_2_only_random_M_3000 23 mp-16220 1.4875378015146594 True False
Fig_2_only_random_M_3000 24 mp-165 0.6334383826752693 False False
Fig_2_only_random_M_3000 25 mp-168 0.39429320721927247 False False
Fig_2_only_random_M_3000 28 mp-571520 0.6026901891257754 False False
Fig_2_only_random_M_3000 32 mp-971661 0.538830641290551 False False
Fig_2_only_random_M_3000 33 mp-971662 0.24974253383468256 False False
Fig_2_only_random_M_3000 34 mp-999200 0.5114574943794494 False False
Fig_2_only_random_M_5000 5 mp-1072544 0.553428948063736 False False
Fig_2_only_random_M_5000 6 mp-1079297 0.44883993515330617 False False
Fig_2_only_random_M_5000 9 mp-1095269 0.5217930209415114 False False
Fig_2_only_random_M_5000 15 mp-1200830 0.2932564667157284 False False
Fig_2_only_random_M_5000 18 mp-1203790 0.2173175551312258 False False
Fig_2_only_random_M_5000 22 mp-149 0.38316347816618884 False False
Fig_2_only_random_M_5000 23 mp-16220 0.7164871067686036 False False
Fig_2_only_random_M_5000 24 mp-165 0.388002334151861 False False
Fig_2_only_random_M_5000 25 mp-168 0.36229736169890203 False False
Fig_2_only_random_M_5000 28 mp-571520 0.5256387118917574 False False
Fig_2_only_random_M_5000 32 mp-971661 0.5160292166777061 False False
Fig_2_only_random_M_5000 33 mp-971662 0.2576549636140338 False False
Fig_2_only_random_M_5000 34 mp-999200 0.5892280535414187 True False
Fig_2_only_random_M_7000 5 mp-1072544 0.4288077940646924 False False
Fig_2_only_random_M_7000 6 mp-1079297 0.4119707394266876 False False
Fig_2_only_random_M_7000 9 mp-1095269 0.45354826160746126 False False
Fig_2_only_random_M_7000 15 mp-1200830 0.2774630054365876 False False
Fig_2_only_random_M_7000 18 mp-1203790 0.2066816798948545 False False
Fig_2_only_random_M_7000 22 mp-149 0.5280395717433571 False False
Fig_2_only_random_M_7000 23 mp-16220 0.22323769653067804 False False
Fig_2_only_random_M_7000 24 mp-165 0.38151427810067956 False False
Fig_2_only_random_M_7000 25 mp-168 0.2984037129196998 False False
Fig_2_only_random_M_7000 28 mp-571520 0.5840815258683413 False False
Fig_2_only_random_M_7000 32 mp-971661 0.4306867469463373 False False
Fig_2_only_random_M_7000 33 mp-971662 0.2393488982288225 False False
Fig_2_only_random_M_7000 34 mp-999200 0.3639496813981705 False False
Fig_2_only_random_M_9000 5 mp-1072544 0.39492102381448085 False False
Fig_2_only_random_M_9000 6 mp-1079297 0.3729049072177936 False False
Fig_2_only_random_M_9000 9 mp-1095269 0.4365474137607719 False False
Fig_2_only_random_M_9000 15 mp-1200830 0.2625386630057279 False False
Fig_2_only_random_M_9000 18 mp-1203790 0.2059155550055645 False False
Fig_2_only_random_M_9000 22 mp-149 0.610044121510793 True False
Fig_2_only_random_M_9000 23 mp-16220 0.287820831389659 False False
Fig_2_only_random_M_9000 24 mp-165 0.31656640243174855 False False
Fig_2_only_random_M_9000 25 mp-168 0.29224086799958066 False False
Fig_2_only_random_M_9000 28 mp-571520 0.5238504754452801 False False
Fig_2_only_random_M_9000 32 mp-971661 0.3713333763785693 False False
Fig_2_only_random_M_9000 33 mp-971662 0.2364223561317578 False False
Fig_2_only_random_M_9000 34 mp-999200 0.45134222247088074 True False
Fig_2_only_individual_M_1000 5 mp-1072544 0.7805993430213188 False False
Fig_2_only_individual_M_1000 6 mp-1079297 0.40211954669918 False False
Fig_2_only_individual_M_1000 9 mp-1095269 0.3022748152252322 False False
Fig_2_only_individual_M_1000 15 mp-1200830 0.16967098917931717 False False
Fig_2_only_individual_M_1000 18 mp-1203790 0.06029356134311908 False False
Fig_2_only_individual_M_1000 22 mp-149 0.493256287735542 False False
Fig_2_only_individual_M_1000 23 mp-16220 0.2734089222080285 False False
Fig_2_only_individual_M_1000 24 mp-165 0.6705464281227475 False False
Fig_2_only_individual_M_1000 25 mp-168 1.9067983198407374 True False
Fig_2_only_individual_M_1000 28 mp-571520 0.5932065576397001 False False
Fig_2_only_individual_M_1000 32 mp-971661 0.14230043116337027 False False
Fig_2_only_individual_M_1000 33 mp-971662 0.06899561182595687 False False
Fig_2_only_individual_M_1000 34 mp-999200 0.6453029225971025 True False
Fig_2_only_individual_M_3000 5 mp-1072544 0.5665941877899111 False False
Fig_2_only_individual_M_3000 6 mp-1079297 0.31915952344955567 False False
Fig_2_only_individual_M_3000 9 mp-1095269 0.2886840847680052 False False
Fig_2_only_individual_M_3000 15 mp-1200830 0.1485024839210142 False False
Fig_2_only_individual_M_3000 18 mp-1203790 0.07014434194562123 False False
Fig_2_only_individual_M_3000 22 mp-149 0.388867757071382 False False
Fig_2_only_individual_M_3000 23 mp-16220 0.27820613560879265 False False
Fig_2_only_individual_M_3000 24 mp-165 0.6104738656590196 False False
Fig_2_only_individual_M_3000 25 mp-168 1.7048622680437335 True False
Fig_2_only_individual_M_3000 28 mp-571520 0.5358985550850968 False False
Fig_2_only_individual_M_3000 32 mp-971661 0.15964882133319616 False False
Fig_2_only_individual_M_3000 33 mp-971662 0.0550762479142198 False False
Fig_2_only_individual_M_3000 34 mp-999200 0.6036292471018659 True False
Fig_2_only_individual_M_5000 5 mp-1072544 0.44191749348667336 False False
Fig_2_only_individual_M_5000 6 mp-1079297 0.3024905001928049 False False
Fig_2_only_individual_M_5000 9 mp-1095269 0.2649912327009528 False False
Fig_2_only_individual_M_5000 15 mp-1200830 0.1541777384176271 False False
Fig_2_only_individual_M_5000 18 mp-1203790 0.07146127210314145 False False
Fig_2_only_individual_M_5000 22 mp-149 0.39669597491529346 False False
Fig_2_only_individual_M_5000 23 mp-16220 0.2744038320284371 False False
Fig_2_only_individual_M_5000 24 mp-165 0.581643539721738 False False
Fig_2_only_individual_M_5000 25 mp-168 1.6740297727599012 True False
Fig_2_only_individual_M_5000 28 mp-571520 0.5326537911278384 False False
Fig_2_only_individual_M_5000 32 mp-971661 0.16696544150624446 False False
Fig_2_only_individual_M_5000 33 mp-971662 0.05535629785934346 False False
Fig_2_only_individual_M_5000 34 mp-999200 0.6097726738059744 True False
Fig_2_only_individual_M_7000 5 mp-1072544 0.4419172892666079 False False
Fig_2_only_individual_M_7000 6 mp-1079297 0.30249050660303456 False False
Fig_2_only_individual_M_7000 9 mp-1095269 0.2649912400280989 False False
Fig_2_only_individual_M_7000 15 mp-1200830 0.15417775423101385 False False
Fig_2_only_individual_M_7000 18 mp-1203790 0.07146127118692366 False False
Fig_2_only_individual_M_7000 22 mp-149 0.3966960780051616 False False
Fig_2_only_individual_M_7000 23 mp-16220 0.27440390597058917 False False
Fig_2_only_individual_M_7000 24 mp-165 0.581643478125424 False False
Fig_2_only_individual_M_7000 25 mp-168 1.6740297092075338 True False
Fig_2_only_individual_M_7000 28 mp-571520 0.5326537635113319 False False
Fig_2_only_individual_M_7000 32 mp-971661 0.16696544906934463 False False
Fig_2_only_individual_M_7000 33 mp-971662 0.055356296910768384 False False
Fig_2_only_individual_M_7000 34 mp-999200 0.6097728069657157 True False
Fig_2_only_individual_M_9000 5 mp-1072544 0.4419174027396219 False False
Fig_2_only_individual_M_9000 6 mp-1079297 0.3024905271669936 False False
Fig_2_only_individual_M_9000 9 mp-1095269 0.2649912761112427 False False
Fig_2_only_individual_M_9000 15 mp-1200830 0.15417777377096348 False False
Fig_2_only_individual_M_9000 18 mp-1203790 0.0714612714976081 False False
Fig_2_only_individual_M_9000 22 mp-149 0.3966959698686619 False False
Fig_2_only_individual_M_9000 23 mp-16220 0.2744038226981645 False False
Fig_2_only_individual_M_9000 24 mp-165 0.5816434706265885 False False
Fig_2_only_individual_M_9000 25 mp-168 1.6740298465147456 True False
Fig_2_only_individual_M_9000 28 mp-571520 0.532653783895264 False False
Fig_2_only_individual_M_9000 32 mp-971661 0.16696550492238907 False False
Fig_2_only_individual_M_9000 33 mp-971662 0.055356292331522026 False False
Fig_2_only_individual_M_9000 34 mp-999200 0.6097727279236681 True False
Fig_2_combined_M_1000 5 mp-1072544 1.0228446574332688 False False
Fig_2_combined_M_1000 6 mp-1079297 0.4794785086072468 False False
Fig_2_combined_M_1000 9 mp-1095269 0.7672512786449251 False False
Fig_2_combined_M_1000 15 mp-1200830 0.3162682667515356 False False
Fig_2_combined_M_1000 18 mp-1203790 0.3669085565435283 False False
Fig_2_combined_M_1000 22 mp-149 0.9544372297007947 False False
Fig_2_combined_M_1000 23 mp-16220 1.1812911051473192 False False
Fig_2_combined_M_1000 24 mp-165 0.8309129073877721 False False
Fig_2_combined_M_1000 25 mp-168 0.5214759860459652 False False
Fig_2_combined_M_1000 28 mp-571520 0.618005009932021 False False
Fig_2_combined_M_1000 32 mp-971661 0.49726430288554574 False False
Fig_2_combined_M_1000 33 mp-971662 0.34249260957279926 False False
Fig_2_combined_M_1000 34 mp-999200 1.0140564854111196 True False
Fig_2_combined_M_3000 5 mp-1072544 0.44311296873783124 False False
Fig_2_combined_M_3000 6 mp-1079297 0.32520752453888735 False False
Fig_2_combined_M_3000 9 mp-1095269 0.3768063364002171 False False
