Pot Structure RMS RMS2
GAP18 mp-149 0.1474748519053789 0.1474748519053789
GAP18 oS24 0.5262530877451851 0.5262530877451851
GAP18 Clathrate-1 1.1144658686477529 1.1144658686477529
02_MP_series_only_disp_nsp_1000 mp-149 0.493256416262322 0.493256416262322
02_MP_series_only_disp_nsp_1000 oS24 0.30227313025526326 0.30227313025526326
02_MP_series_only_disp_nsp_1000 Clathrate-1 0.0689958677140673 0.0689958677140673
02_MP_series_only_disp_nsp_3000 mp-149 0.3888674446742506 0.3888674446742506
02_MP_series_only_disp_nsp_3000 oS24 0.28868169160613405 0.28868169160613405
02_MP_series_only_disp_nsp_3000 Clathrate-1 0.05507663091355015 0.05507663091355015
02_MP_series_only_disp_nsp_5000 mp-149 0.39669556952536517 0.39669556952536517
02_MP_series_only_disp_nsp_5000 oS24 0.2649894715217068 0.2649894715217068
02_MP_series_only_disp_nsp_5000 Clathrate-1 0.055356753304682815 0.055356753304682815
02_MP_series_only_disp_nsp_7000 mp-149 0.39669567134020706 0.39669567134020706
02_MP_series_only_disp_nsp_7000 oS24 0.2649894828195445 0.2649894828195445
02_MP_series_only_disp_nsp_7000 Clathrate-1 0.05535675641460424 0.05535675641460424
02_MP_series_only_disp_nsp_9000 mp-149 0.39669555731602396 0.39669555731602396
02_MP_series_only_disp_nsp_9000 oS24 0.2649895199459924 0.2649895199459924
02_MP_series_only_disp_nsp_9000 Clathrate-1 0.0553567462952298 0.0553567462952298
02_MP_series_scratch_MP_nsp_1000 mp-149 1.3184826655653743 1.3184826655653743
02_MP_series_scratch_MP_nsp_1000 oS24 0.6245833938344187 0.6245833938344187
02_MP_series_scratch_MP_nsp_1000 Clathrate-1 0.5573248669228019 0.5573248669228019
02_MP_series_scratch_MP_nsp_3000 mp-149 0.4556319788215375 0.4556319788215375
02_MP_series_scratch_MP_nsp_3000 oS24 0.7642012016940187 0.7642012016940187
02_MP_series_scratch_MP_nsp_3000 Clathrate-1 0.2497426483337448 0.2497426483337448
02_MP_series_scratch_MP_nsp_5000 mp-149 0.38316348250614796 0.38316348250614796
02_MP_series_scratch_MP_nsp_5000 oS24 0.5217932299541602 0.5217932299541602
02_MP_series_scratch_MP_nsp_5000 Clathrate-1 0.2576554614712916 0.2576554614712916
02_MP_series_scratch_MP_nsp_7000 mp-149 0.5280397247201261 0.5280397247201261
02_MP_series_scratch_MP_nsp_7000 oS24 0.4535485508906207 0.4535485508906207
02_MP_series_scratch_MP_nsp_7000 Clathrate-1 0.2393490057974002 0.2393490057974002
02_MP_series_scratch_MP_nsp_9000 mp-149 0.6100445450468047 0.6100445450468047
02_MP_series_scratch_MP_nsp_9000 oS24 0.43654802557977995 0.43654802557977995
02_MP_series_scratch_MP_nsp_9000 Clathrate-1 0.23642230597265296 0.23642230597265296
02_MP_series_scratch_wd_nsp_1000 mp-149 0.9544372348639989 0.9544372348639989
02_MP_series_scratch_wd_nsp_1000 oS24 0.7672519015636703 0.7672519015636703
02_MP_series_scratch_wd_nsp_1000 Clathrate-1 0.3424925504050885 0.3424925504050885
02_MP_series_scratch_wd_nsp_3000 mp-149 0.4646091313878016 0.4646091313878016
