Pot Structure RMS2 Mean_absolute_perc_error
GAP18 mp-149 0.14747484136445438 0.021744514821188134
GAP18 oS24 0.5262531006041915 0.05783680563452689
GAP18 Clathrate-1 1.114465875947021 0.0953728070101368
02_MP_series_only_disp_nsp_1000 mp-149 0.4932564122810583 0.056313264658129185
02_MP_series_only_disp_nsp_1000 oS24 0.30227312120711447 0.04333761905719743
02_MP_series_only_disp_nsp_1000 Clathrate-1 0.06899587230591499 0.008073228990609674
02_MP_series_only_disp_nsp_3000 mp-149 0.388867452844107 0.05687221302084727
02_MP_series_only_disp_nsp_3000 oS24 0.2886816915927433 0.041246445586956476
02_MP_series_only_disp_nsp_3000 Clathrate-1 0.05507663482248548 0.006880827879976233
02_MP_series_only_disp_nsp_5000 mp-149 0.3966955696962504 0.05614588442986002
02_MP_series_only_disp_nsp_5000 oS24 0.264989473406022 0.037443167818009146
02_MP_series_only_disp_nsp_5000 Clathrate-1 0.05535675495289225 0.006959690294160283
02_MP_series_only_disp_nsp_7000 mp-149 0.39669566601164136 0.05584880380511962
02_MP_series_only_disp_nsp_7000 oS24 0.2649894724196023 0.03744316488858402
02_MP_series_only_disp_nsp_7000 Clathrate-1 0.055356756322014034 0.006959690917871329
02_MP_series_only_disp_nsp_9000 mp-149 0.396695558207198 0.0573211965891322
02_MP_series_only_disp_nsp_9000 oS24 0.26498951435937285 0.03744319093561483
02_MP_series_only_disp_nsp_9000 Clathrate-1 0.05535674595645157 0.006959690410307853
02_MP_series_scratch_MP_nsp_1000 mp-149 1.3184827074171968 0.12093443427972948
02_MP_series_scratch_MP_nsp_1000 oS24 0.6245834352765741 0.08042046012734694
02_MP_series_scratch_MP_nsp_1000 Clathrate-1 0.5573248605259936 0.06726174729870961
02_MP_series_scratch_MP_nsp_3000 mp-149 0.45563198280253164 0.05034639239928508
02_MP_series_scratch_MP_nsp_3000 oS24 0.764201189055412 0.0987154435436579
02_MP_series_scratch_MP_nsp_3000 Clathrate-1 0.24974264672889887 0.030942537914821905
02_MP_series_scratch_MP_nsp_5000 mp-149 0.38316348385995536 0.0479061597495109
02_MP_series_scratch_MP_nsp_5000 oS24 0.5217932529644291 0.06776392837255707
02_MP_series_scratch_MP_nsp_5000 Clathrate-1 0.2576554579887664 0.03321791670234369
02_MP_series_scratch_MP_nsp_7000 mp-149 0.528039722580985 0.0667694375288554
02_MP_series_scratch_MP_nsp_7000 oS24 0.45354851390218526 0.05744166607977047
