Pot Structure RMS2 Mean_absolute_perc_error
GAP18 mp-149 0.1474748519053789 0.021789299358311785
GAP18 oS24 0.5262530877451851 0.057836807204977206
GAP18 Clathrate-1 1.1144658686477529 0.09537280452975762
02_MP_series_only_disp_nsp_1000 mp-149 0.493256416262322 0.053999961406905835
02_MP_series_only_disp_nsp_1000 oS24 0.30227313025526326 0.043337690755160786
02_MP_series_only_disp_nsp_1000 Clathrate-1 0.0689958677140673 0.008073228203406004
02_MP_series_only_disp_nsp_3000 mp-149 0.3888674446742506 0.0562434066205781
02_MP_series_only_disp_nsp_3000 oS24 0.28868169160613405 0.04124649208994122
02_MP_series_only_disp_nsp_3000 Clathrate-1 0.05507663091355015 0.006880827494095778
02_MP_series_only_disp_nsp_5000 mp-149 0.39669556952536517 0.05605719793221983
02_MP_series_only_disp_nsp_5000 oS24 0.2649894715217068 0.037443174743275555
02_MP_series_only_disp_nsp_5000 Clathrate-1 0.055356753304682815 0.0069596902095856936
02_MP_series_only_disp_nsp_7000 mp-149 0.39669567134020706 0.05649252551139529
02_MP_series_only_disp_nsp_7000 oS24 0.2649894828195445 0.03744319292497517
02_MP_series_only_disp_nsp_7000 Clathrate-1 0.05535675641460424 0.006959690832624926
02_MP_series_only_disp_nsp_9000 mp-149 0.39669555731602396 0.05573857207370816
02_MP_series_only_disp_nsp_9000 oS24 0.2649895199459924 0.037443183644383
02_MP_series_only_disp_nsp_9000 Clathrate-1 0.0553567462952298 0.00695969014650816
02_MP_series_scratch_MP_nsp_1000 mp-149 1.3184826655653743 0.12022142145536206
02_MP_series_scratch_MP_nsp_1000 oS24 0.6245833938344187 0.08042045486837945
02_MP_series_scratch_MP_nsp_1000 Clathrate-1 0.5573248669228019 0.06726174844256087
02_MP_series_scratch_MP_nsp_3000 mp-149 0.4556319788215375 0.0503106049143379
02_MP_series_scratch_MP_nsp_3000 oS24 0.7642012016940187 0.09871544650707402
02_MP_series_scratch_MP_nsp_3000 Clathrate-1 0.2497426483337448 0.030942537714599753
02_MP_series_scratch_MP_nsp_5000 mp-149 0.38316348250614796 0.047453467957033785
02_MP_series_scratch_MP_nsp_5000 oS24 0.5217932299541602 0.06776382666660566
02_MP_series_scratch_MP_nsp_5000 Clathrate-1 0.2576554614712916 0.03321791728282929
02_MP_series_scratch_MP_nsp_7000 mp-149 0.5280397247201261 0.06742379439698362
02_MP_series_scratch_MP_nsp_7000 oS24 0.4535485508906207 0.0574417848317062
02_MP_series_scratch_MP_nsp_7000 Clathrate-1 0.2393490057974002 0.030767426202242598
02_MP_series_scratch_MP_nsp_9000 mp-149 0.6100445450468047 0.0693344310940065
02_MP_series_scratch_MP_nsp_9000 oS24 0.43654802557977995 0.0559240813160513
02_MP_series_scratch_MP_nsp_9000 Clathrate-1 0.23642230597265296 0.0300586001738659
02_MP_series_scratch_wd_nsp_1000 mp-149 0.9544372348639989 0.12008025934168141
02_MP_series_scratch_wd_nsp_1000 oS24 0.7672519015636703 0.09645798724126012
02_MP_series_scratch_wd_nsp_1000 Clathrate-1 0.3424925504050885 0.0414176778082594
02_MP_series_scratch_wd_nsp_3000 mp-149 0.4646091313878016 0.04804408268404028
02_MP_series_scratch_wd_nsp_3000 oS24 0.37680720015431274 0.044907021530269826
02_MP_series_scratch_wd_nsp_3000 Clathrate-1 0.23948811489331662 0.030038522734054936
02_MP_series_scratch_wd_nsp_5000 mp-149 0.33491671991153715 0.04127536592792914
02_MP_series_scratch_wd_nsp_5000 oS24 0.310655743636495 0.03791217923929539
02_MP_series_scratch_wd_nsp_5000 Clathrate-1 0.1864022831145899 0.02450673800736694
02_MP_series_scratch_wd_nsp_7000 mp-149 0.2890101597947563 0.03755276189402686
02_MP_series_scratch_wd_nsp_7000 oS24 0.28397484864476885 0.03500186102674081
02_MP_series_scratch_wd_nsp_7000 Clathrate-1 0.16289524701036148 0.021434319946697308
02_MP_series_scratch_wd_nsp_9000 mp-149 0.298812897464364 0.03758940450208761
02_MP_series_scratch_wd_nsp_9000 oS24 0.28908832465572065 0.03512958241720653
02_MP_series_scratch_wd_nsp_9000 Clathrate-1 0.16844641899204066 0.021989680952350474
03_fas_series_only_disp_9k_0.0001 mp-149 0.22495073453695832 0.036488749401603966
03_fas_series_only_disp_9k_0.0001 oS24 0.2295344446287364 0.023102092968115
03_fas_series_only_disp_9k_0.0001 Clathrate-1 0.07437349010098998 0.007889178558492093
03_fas_series_only_disp_9k_0.0010 mp-149 0.19808469746081525 0.031664067389536164
03_fas_series_only_disp_9k_0.0010 oS24 0.1613650566173647 0.018671498305898565
03_fas_series_only_disp_9k_0.0010 Clathrate-1 0.04357451932822344 0.005807401773917811
03_fas_series_only_disp_9k_0.0100 mp-149 0.27457029456280163 0.04089383460538965
03_fas_series_only_disp_9k_0.0100 oS24 0.1998436663365907 0.024659867707762646
03_fas_series_only_disp_9k_0.0100 Clathrate-1 0.05346581291236192 0.00670794175925646
03_fas_series_only_disp_9k_0.1000 mp-149 0.39669555731602396 0.05573857207370816
03_fas_series_only_disp_9k_0.1000 oS24 0.2649895199459924 0.037443183644383
03_fas_series_only_disp_9k_0.1000 Clathrate-1 0.0553567462952298 0.00695969014650816
03_fas_series_scratch_wd_nsp9k_0.0001 mp-149 0.12559635075823974 0.02520964837685557
03_fas_series_scratch_wd_nsp9k_0.0001 oS24 None None
03_fas_series_scratch_wd_nsp9k_0.0001 Clathrate-1 0.1626458927101068 0.019330863602347852
03_fas_series_scratch_wd_nsp9k_0.0010 mp-149 0.07455467343930977 0.012797618936968817
03_fas_series_scratch_wd_nsp9k_0.0010 oS24 0.08452857009903171 0.010264906708394106
03_fas_series_scratch_wd_nsp9k_0.0010 Clathrate-1 0.04271227182072686 0.005712673900267623
03_fas_series_scratch_wd_nsp9k_0.0100 mp-149 0.12054076604236268 0.020516298126933938
03_fas_series_scratch_wd_nsp9k_0.0100 oS24 0.12390266016055321 0.015028575951719908
03_fas_series_scratch_wd_nsp9k_0.0100 Clathrate-1 0.08959130717021278 0.012117502789669384
03_fas_series_scratch_wd_nsp9k_0.1000 mp-149 0.298812897464364 0.03758940450208761
03_fas_series_scratch_wd_nsp9k_0.1000 oS24 0.28908832465572065 0.03512958241720653
03_fas_series_scratch_wd_nsp9k_0.1000 Clathrate-1 0.16844641899204066 0.021989680952350474
04_GAP-18C_nsp_9000 mp-149 0.06371641859805369 0.011513937919772276
04_GAP-18C_nsp_9000 oS24 0.09354719353006397 0.01082181710709178
04_GAP-18C_nsp_9000 Clathrate-1 0.045674363413781546 0.005977973378392533
04_GAP-18C_nsp_9000_onlydisp mp-149 0.05736855809627458 0.011278824452260586
04_GAP-18C_nsp_9000_onlydisp oS24 0.11437467241067056 0.014060130570728474
04_GAP-18C_nsp_9000_onlydisp Clathrate-1 0.07666223991004682 0.010226338906538976
04_GAP-18C_nsp_9000_3000_fas_0.0010 mp-149 0.05705510945377193 0.00898675150496154
04_GAP-18C_nsp_9000_3000_fas_0.0010 oS24 0.09358019913636571 0.011545217827932745
04_GAP-18C_nsp_9000_3000_fas_0.0010 Clathrate-1 0.06357147826346181 0.008358048006784424
04_GAP-18C_nsp_9000_3000_fas_0.0100 mp-149 0.13959838676248915 0.02276314791443837
04_GAP-18C_nsp_9000_3000_fas_0.0100 oS24 0.11529042870958969 0.014611016276287582
04_GAP-18C_nsp_9000_3000_fas_0.0100 Clathrate-1 0.06205181806500884 0.0073480834861191155
